"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00340806030610982,48,210,1.80342857142857,"Path:hsa04015 Rap1 signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04015 "," RGS14  ADCY1  ADCY2  RAPGEF4  ADCY9  CSF1R  EFNA5  EGFR  AKT1  FGF6  FGFR4  FLT1  FGF20  LAT  GNAI1  GNAI2  GNAI3  GNAO1  ANGPT2  GRIN2B  IGF1  IGF1R  MET  AFDN  NRAS  EVL  PDGFA  PFN2  PGF  PRKCA  PRKCI  MAPK13  PDGFC  MAP2K6  RAF1  RAP1B  ACTB  BRAF  VEGFA  FGF23  FGF18  FGF17  FGF16  CALML4  RAPGEF2  DOCK4  RAPGEF5  MAGI2"
0.00340806030610982,26,89,2.30494382022472,"Path:hsa04211 Longevity regulating pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04211 "," CAMKK2  ADCY1  ADCY2  PPARGC1A  ADCY9  CREB1  EIF4E  EIF4EBP1  AKT1  FOXO1  FOXO3  APPL1  IGF1  IGF1R  NRAS  PRKAG2  RPTOR  RHEB  CREB3L2  SOD2  CAMK4  ULK1  KL  ADIPOQ  EIF4E2  CREB5"
0.00340806030610982,55,249,1.74277108433735,"Path:hsa05132 Salmonella infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05132 "," ARPC4  ARPC1B  ACTR3  ARPC2  TLR6  EXOC5  NCKAP1  AHNAK2  DYNLL2  DYNC1H1  DYNC1LI2  MLKL  AKT1  TAB2  EXOC7  VPS39  TAB3  VPS41  ANXA2  ARF6  KLC1  KPNA1  KPNA4  RHOH  M6PR  MYO6  PAK3  PFN2  ARL8B  EXOC2  MAPK9  MAPK10  MAPK13  MAP2K6  RHOJ  RAB5A  RAF1  BCL2  ACTB  EXOC4  SKP1  TCF7  DYNLT1  TNFRSF1A  TUBA4A  CASP3  DYNLRB2  CASP8  IKBKG  TNFSF10  TNFRSF10B  KLC4  CYTH1  GCC2  ELMO1"
0.00531096147996572,61,294,1.63704081632653,"Path:hsa04010 MAPK signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04010 "," MAP3K2  CSF1R  DUSP7  EFNA5  EGFR  ELK1  ERBB4  AKT1  MECOM  FGF6  FGFR4  TAB2  FLT1  FGF20  CACNG5  CACNG4  GNA12  PLA2G4D  ANGPT2  IGF1  IGF1R  IL1RAP  ARAF  MAX  MAP3K3  MET  NRAS  NTRK2  PDGFA  MAP3K20  PGF  PLA2G4A  PPP3CA  PRKCA  CACNA2D3  MAPK9  MAPK10  MAPK13  PDGFC  MAP2K6  PTPRR  RAF1  RAP1B  RASGRF1  SRF  BRAF  STK3  TNFRSF1A  VEGFA  CACNA1D  CACNA1F  MAPKAPK3  FGF23  CASP3  IKBKG  FGF18  FGF17  FGF16  CACNA1G  RPS6KA5  RAPGEF2"
0.00805359059175085,18,56,2.53607142857143,"Path:hsa04340 Hedgehog signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04340 "," KIF3A  CSNK1A1  CSNK1G3  EVC  IQCE  FBXW11  MGRN1  GLI2  GSK3B  SPOPL  KIF7  CSNK1G1  HHATL  BCL2  HHIP  SHH  SMO  CUL3"
0.0100112632591898,96,530,1.4291320754717,"Path:hsa05200 Pathways in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05200 "," LPAR6  CDK6  TFG  GNA13  GNB5  ADCY1  ADCY2  RASSF1  ADCY9  COL4A1  COL4A4  CREBBP  CSF1R  CTBP1  CTNNA1  DCC  NQO1  EDNRA  EGFR  ELK1  AKT1  ESR1  ESR2  MECOM  FGF6  FGFR4  FOXO1  FN1  APPL1  FGF20  GLI2  GNA12  GNAI1  GNAI2  GNAI3  GNB3  GSK3B  HDAC2  HIF1A  APAF1  XIAP  IGF1  IGF1R  IL2RG  IL3  IL12A  IL12B  IL13RA1  ITGA3  ARAF  JAG2  KIF7  LAMB1  SMAD2  SMAD3  MAX  MDM2  MET  MGST2  MMP2  NRAS  PDGFA  PGF  PIM1  PLD2  PML  PRKCA  MAPK9  MAPK10  RAF1  RARB  BCL2  HHIP  SHH  SKP1  BMP4  SMO  BRAF  BRCA2  TCF7  TERT  TXNRD1  VEGFA  WNT7A  FGF23  CAMK2B  CASP3  CASP8  IKBKG  RUNX1T1  FGF18  FGF17  FGF16  CALML4  RPS6KA5  ARNT2"
0.0106109157395852,22,79,2.19721518987342,"Path:hsa01521 EGFR tyrosine kinase inhibitor resistance","http://www.genome.jp/kegg-bin/show_pathway?hsa01521 "," EGFR  EIF4E  EIF4EBP1  AKT1  FOXO3  GAB1  GAS6  GSK3B  NRG1  IGF1  IGF1R  ARAF  MET  NRAS  PDGFA  PRKCA  PDGFC  RAF1  BCL2  BRAF  VEGFA  EIF4E2"
0.0106109157395852,40,181,1.74364640883978,"Path:hsa04360 Axon guidance","http://www.genome.jp/kegg-bin/show_pathway?hsa04360 "," SEMA3A  DCC  DPYSL2  EFNA5  EFNB2  EPHA7  EPHB1  EPHB4  ABLIM3  GNAI1  GNAI2  GNAI3  GSK3B  MET  NRAS  PAK3  PLXNB3  SSH1  PPP3CA  PRKCA  SEMA3G  RGMA  SEMA6A  RAF1  NTN4  ROBO1  RYK  LRRC4  SHH  SLIT3  SMO  TRPC3  TRPC5  SEMA6D  CAMK2B  ABLIM2  UNC5A  PLXNA4  BOC  SRGAP3"
0.0106109157395852,27,106,2.00971698113208,"Path:hsa04928 Parathyroid hormone synthesis secretion and action","http://www.genome.jp/kegg-bin/show_pathway?hsa04928 "," GNA13  ADCY1  ADCY2  AKAP13  ADCY9  CREB1  HBEGF  EGFR  GNA12  GNAI1  GNAI2  GNAI3  ARAF  MEF2A  MMP16  NR4A2  PLD2  PRKCA  PTH1R  RAF1  BCL2  CREB3L2  BRAF  FGF23  RUNX2  KL  CREB5"
0.0106496059759698,18,60,2.367,"Path:hsa04730 Long-term depression","http://www.genome.jp/kegg-bin/show_pathway?hsa04730 "," GNA13  GNA12  GNAI1  GNAI2  GNAI3  GNAO1  PLA2G4D  GRIA2  GRIA3  GUCY1A1  IGF1  IGF1R  ARAF  NRAS  PLA2G4A  PRKCA  RAF1  BRAF"
